question,option_1,option_2,option_3,option_4,source,num_voters
Қай бири тўғри?,Ҳасса | Hassa,Хасса | Xassa,,,https://t.me/oriftolib/2110,"[1224, 522]"
Қай бири тўғри?,Инчунун | Inchunun,Инчинун | Inchinun,Инчунин | Inchunin,,https://t.me/oriftolib/2112,"[913, 646, 376]"
"""Чунончи"" нима дегани?",Аслида | Aslida,Масалан | Masalan,Ниначи | Ninachi,,https://t.me/oriftolib/2113,"[909, 947, 85]"
Қай бири тўғри?,Чор атроф тинч | Chor atrof tinch,Чор-атроф тинч | Chor-atrof tinch,,,https://t.me/oriftolib/2116,"[813, 819]"
Қай бири тўғри?,Чорёрлар | Choryorlar,Чориёрлар | Choriyorlar,Иккови ҳам тўғри.,,https://t.me/oriftolib/2119,"[493, 748, 603]"
Қай бири тўғри?,Хиқилдоқ | Xiqildoq,Ҳиқилдоқ | Hiqildoq,,,https://t.me/oriftolib/2120,"[687, 1220]"
“Тўрт муча”га нималар киради?,"Кўз, қулоқ, бош ва юрак","Юрак, тил, жигар ва ўпка","Оёқ, қўл, кўз ва қулоқ",,https://t.me/oriftolib/2123,"[399, 169, 1531]"
Қай бири тўғри?,"Балки, биларсиз? | Balki, bilarsiz?",Балки биларсиз? | Balki bilarsiz?,,,https://t.me/oriftolib/2124,"[920, 879]"
Қай бири тўғри?,Уззукун | Uzzukun,Уззу-кун | Uzzu-kun,Уззу кун | Uzz-u kun,,https://t.me/oriftolib/2125,"[847, 647, 395]"
Қай бири тўғри?,Дастурил амал | Dasturil amal,Дастурил-амал | Dasturil-amal,Дастуриламал | Dasturilamal,,https://t.me/oriftolib/2126,"[498, 297, 757]"
Қай бири тўғри?,Турп | Turp,Туруп | Turup,,,https://t.me/oriftolib/2129,"[1408, 376]"
Қай бири тўғри?,Довча | Dovcha,Довуча | Dovucha,Довучча | Dovuchcha,,https://t.me/oriftolib/2134,"[513, 270, 745]"
Қай бири тўғри?,Сайил | Sayil,Сайл | Sayl,,,https://t.me/oriftolib/2136,"[703, 810]"
Қай бири тўғри?,Қулай | Qulay,Қўлай | Qoʻlay,Иккови ҳам тўғри.,,https://t.me/oriftolib/2140,"[1556, 74, 125]"
"Қай бири тўғри? 

Фойдадан ... бўлмайди.",Холи | xoli,Ҳоли | holi,,,https://t.me/oriftolib/2141,"[744, 1035]"
"Қай бири тўғри? 

Оёқ қисми – ...",Тавон | Tavon,Товон | Tovon,,,https://t.me/oriftolib/2143,"[402, 1220]"
"Қай бири тўғри? 

Заиф, бечора – ...",Нотавон | Notavon,Нотовон | Notovon,,,https://t.me/oriftolib/2144,"[1184, 463]"
Қай бири тўғри?,Тўғри ёндашув | Toʻgʻri yondashuv,Тўғри ёндошув | Toʻgʻri yondoshuv,Иккови ҳам тўғри.,,https://t.me/oriftolib/2147,"[1001, 241, 203]"
"Қай бири тўғри? 

Тасвирий санъат тури – ...",Ранг-тасвир | Rang-tasvir,Рангтасвир | Rangtasvir,,,https://t.me/oriftolib/2150,"[1299, 449]"
Қай бири тўғри?,Хотин-ҳалаж | Xotin-halaj,Хотин-халаж | Xotin-xalaj,,,https://t.me/oriftolib/2152,"[720, 855]"
Qay biri toʻgʻri?,Kitob muqovasi,Kitob muqavasi,,,https://t.me/oriftolib/2157,"[1594, 169]"
Qay biri toʻgʻri?,Zaxira,Zahira,,,https://t.me/oriftolib/2159,"[1096, 833]"
Qay biri toʻgʻri?,Maʼnili,Maʼnoli,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2162,"[70, 813, 1118]"
Qay biri toʻgʻri?,Piyozni archidi,Piyozni archdi,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2163,"[513, 799, 675]"
Qay biri toʻgʻri?,Unga gap uqdirish qiyin.,Unga gap uqtirish qiyin.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2165,"[489, 1128, 274]"
Qay biri toʻgʻri?,Gapingizni uqdim.,Gapingizni uqtim.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2166,"[1340, 368, 274]"
Qay biri toʻgʻri?,Hamma yoq,Hammayoq,,,https://t.me/oriftolib/2167,"[1014, 965]"
Qay biri toʻgʻri?,Odam skaleti,Odam skeleti,,,https://t.me/oriftolib/2170,"[190, 1744]"
Qay biri toʻgʻri?,Suqsur,Suxsur,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2171,"[1025, 344, 458]"
Qay biri toʻgʻri?,Hazir boʻling!,Xazir boʻling!,,,https://t.me/oriftolib/2173,"[1202, 678]"
Qay biri toʻgʻri?,Dovruq,Dovrugʻ,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2175,"[391, 1090, 471]"
Qay biri toʻgʻri?,Abu Nasr Forobiy,Abu Nasr Farobiy,,,https://t.me/oriftolib/2176,"[680, 1421]"
Qay biri toʻgʻri?,Tuturuqsiz,Tuturiqsiz,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2178,"[739, 684, 364]"
Qay biri toʻgʻri?,Sabzavot,Sabzovot,,,https://t.me/oriftolib/2183,"[1408, 215]"
"“Sher ila durroj” hikoyati va bu asosda ishlangan multfilm bor.

“Durroj” qanday maʼnoni anglatadi?",Duradgor,Vahshiy hayvon,Qush turi,,https://t.me/oriftolib/2185,"[511, 146, 974]"
Qay biri toʻgʻri?,Issiqda jemfer kiyma.,Issiqda jemfir kiyma.,Issiqda jemper kiyma.,,https://t.me/oriftolib/2187,"[790, 378, 575]"
Qay biri toʻgʻri?,Polietelin paketlar,Polietilen paketlar,Poletilin paketlar,,https://t.me/oriftolib/2190,"[583, 1390, 633]"
Qay biri toʻgʻri?,Qamchi bilan urdi.,Qamchin bilan urdi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2193,"[909, 213, 629]"
Qay biri toʻgʻri?,Janob oliylari,Janobi oliylari,,,https://t.me/oriftolib/2195,"[476, 2110]"
Qay biri toʻgʻri?,Uydurma,Uydirma,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2197,"[512, 965, 394]"
Qay biri toʻgʻri?,Gʻadir-budur,Gʻadir-budir,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2198,"[805, 735, 265]"
Qay biri toʻgʻri?,Rayxon,Rayhon,,,https://t.me/oriftolib/2200,"[390, 1571]"
Qay biri toʻgʻri?,Kuzirlik qilma!,Kuzurlik qilma!,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2202,"[622, 655, 332]"
Qay biri toʻgʻri?,Kunpayakun boʻldi,Kunpaya-kun boʻldi,,,https://t.me/oriftolib/2204,"[1183, 566]"
Qay biri toʻgʻri?,Loʻlakabob,Loʻlikabob,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2207,"[1023, 717, 364]"
"Qay biri toʻgʻri? 

Nihoyatda ozib ketgan, quruq suyak – ...",Eti ustixoniga yopishgan.,Eti ustuxoniga yopishgan.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2209,"[970, 558, 319]"
Qay biri toʻgʻri?,Voqia,Voqea,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2211,"[119, 1921, 136]"
Qay biri toʻgʻri?,Pachaq,Pachoq,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2212,"[239, 1212, 408]"
Qay biri toʻgʻri?,Nimadir deb gʻuldiradi.,Nimadir deb gʻulduradi.,,,https://t.me/oriftolib/2214,"[1755, 894]"
"Qay biri toʻgʻri? 

Tuproq yemirilishi – ...",Eroziya,Erroziya,,,https://t.me/oriftolib/2216,"[1028, 907]"
Qay biri toʻgʻri?,Narsasini qizgʻondi.,Narsasini qizgʻandi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2218,"[926, 1181, 756]"
Qay biri toʻgʻri?,Baxil,Bahil,,,https://t.me/oriftolib/2221,"[2141, 772]"
Qay biri toʻgʻri?,Dakan xoʻroz,Dakang xoʻroz,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2223,"[1036, 531, 288]"
Qay biri toʻgʻri?,Idea,Ideya,Idia,,https://t.me/oriftolib/2227,"[1378, 954, 169]"
Qay biri toʻgʻri?,Idial,Ideal,Idiyal,,https://t.me/oriftolib/2228,"[235, 1993, 227]"
Qay biri toʻgʻri?,Idealogiya,Idialogiya,Ideologiya,,https://t.me/oriftolib/2229,"[1344, 398, 819]"
“Binobarin” nima degani?,Demak,Shunga qaramay,Lekin,,https://t.me/oriftolib/2235,"[679, 1259, 159]"
Qay biri toʻgʻri?,Yevropoid,Yevropeid,Yevropeoid,,https://t.me/oriftolib/2236,"[1268, 338, 455]"
Qay biri toʻgʻri?,Koʻzboylogʻich,Koʻzboylagʻich,,,https://t.me/oriftolib/2238,"[932, 897]"
“Ittifoqo” nima degani?,Toʻsatdan,Agar,Birgalikda,,https://t.me/oriftolib/2241,"[804, 414, 820]"
"Qay biri toʻgʻri?

Birlashgan Arab Amirliklari poytaxti –...",Abu Dabi,Abu-Dabi,,,https://t.me/oriftolib/2242,"[1034, 931]"
Qay biri toʻgʻri?,Zimziyo xona,Zim-ziyo xona,,,https://t.me/oriftolib/2245,"[1139, 1694]"
"Qay biri toʻgʻri? 

Yirik suv hayvoni – ...",Kashelot,Kashalot,Keshelot,,https://t.me/oriftolib/2246,"[738, 1305, 241]"
Qay biri toʻgʻri?,Laberint,Labirint,,,https://t.me/oriftolib/2248,"[539, 1755]"
Qay biri toʻgʻri?,Voleybol,Volleybol,,,https://t.me/oriftolib/2249,"[1228, 1052]"
Qay biri toʻgʻri?,Kungurador bino,Kungirador bino,,,https://t.me/oriftolib/2253,"[1055, 837]"
Qay biri toʻgʻri?,Bahuzir,Bahuzur,,,https://t.me/oriftolib/2256,"[363, 2317]"
"Qay biri toʻgʻri? 

Hindistondagi shtat – ...",Gujarot,Gujorat,,,https://t.me/oriftolib/2257,"[1180, 1023]"
Qay biri toʻgʻri?,Uzoqlarga termuldi.,Uzoqlarga termildi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2258,"[1028, 610, 370]"
"Qay biri toʻgʻri?

Sevgi dardidan mening ham boʻldi rangim ________. E. Vohidov, “Muhabbatnoma”.",kahrabo,qahrabo,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2260,"[452, 1298, 232]"
"Shunday yomgʻirda azza-bazza uzoqdan keldi.

👉 “Azza-bazza” nima degani?",Zoʻrga,Ataylab,Shalabbo boʻlib,,https://t.me/oriftolib/2264,"[1341, 672, 322]"
Qay biri toʻgʻri?,Tennis raketkasi,Tennis roketkasi,,,https://t.me/oriftolib/2265,"[1538, 627]"
Qay biri toʻgʻri?,Batareya,Batereya,,,https://t.me/oriftolib/2267,"[1987, 327]"
Qay biri toʻgʻri?,Moʻgʻuliston,Moʻgʻiliston,,,https://t.me/oriftolib/2268,"[1649, 616]"
Qay biri toʻgʻri?,Nes-nobud boʻldi.,Nest-nobud boʻldi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2269,"[871, 673, 510]"
Qay biri toʻgʻri?,Mashina bamferi,Mashina bamperi,,,https://t.me/oriftolib/2271,"[1125, 983]"
Qay biri toʻgʻri?,Chotqol tizmasi,Chatqol tizmasi,,,https://t.me/oriftolib/2272,"[1686, 424]"
Qay biri toʻgʻri?,Pantomima,Pantomimo,,,https://t.me/oriftolib/2275,"[1003, 1123]"
Qay biri toʻgʻri?,Xolesterin,Xolestirin,Xolistiren,,https://t.me/oriftolib/2277,"[1092, 447, 302]"
Qay biri toʻgʻri?,Arxipilag,Arxipelag,,,https://t.me/oriftolib/2280,"[479, 1262]"
"Miyigʻida kuldi.

Ushbu iboradagi “miyiq” soʻzining lugʻaviy maʼnosi nima?",Labning cheti,Moʻylov,Koʻzning chala yumilishi,,https://t.me/oriftolib/2282,"[1541, 289, 372]"
Qay biri toʻgʻri?,Bermuda orollari,Bermud orollari,,,https://t.me/oriftolib/2289,"[464, 1506]"
Qay biri toʻgʻri?,Pavilion,Pavilyon,,,https://t.me/oriftolib/2290,"[1106, 976]"
Qaysi ibora toʻgʻri?,Azob totmoq,Azob tortmoq,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2292,"[202, 1233, 608]"
Qay biri toʻgʻri?,Mingizmoq,Minggizmoq,,,https://t.me/oriftolib/2294,"[1688, 484]"
Arlon nima?,Boʻri yoki itning erkagi,Uch-toʻrt yoshli erkak ot,Zotdor tuya,,https://t.me/oriftolib/2296,"[722, 714, 637]"
"Qay biri toʻgʻri?

Yaponiyalik siyosatchi Sindzo Abega ... uyushtirildi.",sui qasd,suiqasd,Suyqasd,,https://t.me/oriftolib/2298,"[141, 1683, 453]"
"Boʻriga oʻxshash hayvon, chiyaboʻri – ...",Shogʻol,Shoqol,Shaqal,,https://t.me/oriftolib/2299,"[332, 2031, 136]"
Qay biri toʻgʻri?,Ahvoli chataq ekan.,Ahvoli chatoq ekan.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2300,"[109, 1731, 355]"
"Qay biri toʻgʻri? 

Astronomik asbob nomi – ...",Usturlab,Usturlob,,,https://t.me/oriftolib/2301,"[538, 1785]"
Qay biri toʻgʻri?,Handaq,Xandaq,,,https://t.me/oriftolib/2303,"[1185, 1278]"
Qay biri toʻgʻri?,Munchoq,Moʻnchoq,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2304,"[1857, 184, 263]"
Qay biri toʻgʻri?,Vaakum,Vakuum,Vakum,,https://t.me/oriftolib/2305,"[532, 1238, 514]"
Qay biri toʻgʻri?,Viloyat miqyosida,Viloyat miqiyosida,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2306,"[1425, 528, 247]"
Qay biri toʻgʻri?,Oyoqosti qilma!,Oyogʻosti qilma!,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2308,"[1073, 891, 461]"
Qay biri toʻgʻri?,Zurriyod,Zurriyot,,,https://t.me/oriftolib/2310,"[1351, 1120]"
Qay biri toʻgʻri?,Shu choqda,Shu chog‘da,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2313,"[301, 1683, 492]"
Qay biri toʻgʻri?,Noʻxot,Noʻxat,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2314,"[561, 1505, 348]"
Qay biri toʻgʻri?,Darddan qutuldi.,Darddan qutildi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2316,"[789, 1659, 432]"
Qay biri toʻgʻri?,Shaxrixon,Shahrixon,Shahrihon,,https://t.me/oriftolib/2318,"[434, 2028, 203]"
Qay biri toʻgʻri?,Parallelepiped,Parallelopiped,,,https://t.me/oriftolib/2319,"[1836, 2567]"
Qay biri toʻgʻri?,Parallelegramm,Parallelogramm,,,https://t.me/oriftolib/2320,"[1600, 2932]"
Qay biri toʻgʻri?,Diagonal,Diaganal,Diogonal,,https://t.me/oriftolib/2321,"[1724, 659, 778]"
Qay biri toʻgʻri?,Pul undirdi,Pul undurdi,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2322,"[1943, 411, 326]"
Qay biri toʻgʻri?,Nagʻora,Nogʻara,Nogʻora,,https://t.me/oriftolib/2324,"[228, 537, 1866]"
“Tang qolmoq” iborasi qanday maʼnoga ega?,Ilojsiz qolmoq,Hayratda qolmoq,Gʻamga botmoq,,https://t.me/oriftolib/2325,"[1830, 577, 156]"
“Nashʼa” nima degani?,Narkotik modda,"Huzur, gasht",,,https://t.me/oriftolib/2326,"[857, 1827]"
“Mishiqi” soʻzining maʼnosi nima?,Mushukka oʻxshash,Oʻgʻrilikka moyil,Burni oqqan,,https://t.me/oriftolib/2329,"[510, 535, 2005]"
Qay biri toʻgʻri?,Uydirma toʻqidi.,Uydurma toʻqidi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2330,"[1546, 824, 392]"
Qay biri toʻgʻri?,Jamiki,Jamiyki,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2331,"[1274, 882, 488]"
Qay biri toʻgʻri?,Svilizatsiya,Sivilizatsiya,,,https://t.me/oriftolib/2332,"[1115, 1528]"
"Qay biri toʻgʻri? 

Ona yurting omon boʻlsa, ___________________ somon boʻlmas.",rangi roʻying,rang-u roʻying,,,https://t.me/oriftolib/2334,"[1309, 1629]"
Qay biri toʻgʻri?,Osori atiqa,Osori-atiqa,,,https://t.me/oriftolib/2335,"[1431, 1208]"
Qay biri toʻgʻri?,Yosharmoq,Yasharmoq,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2336,"[1175, 875, 609]"
Qay biri toʻgʻri?,Bekamu koʻst,Bekamu-koʻst,Bekam-u koʻst,,https://t.me/oriftolib/2337,"[813, 691, 1313]"
“Tuvagi tillodan” iborasining maʼnosi nima?,Oʻta boy,Takabbur,Saxiy,,https://t.me/oriftolib/2338,"[1680, 596, 258]"
Qay biri toʻgʻri?,Muofiq,Muvofiq,Muvofuq,,https://t.me/oriftolib/2341,"[277, 2057, 128]"
Qay biri toʻgʻri?,Daraxt qiygʻos gulladi.,Daraxt qiygʻoch gulladi.,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2342,"[1629, 436, 183]"
Qay biri toʻgʻri?,Qiygʻos qoshli qiz,Qiygʻoch qoshli qiz,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2343,"[868, 1265, 197]"
Qay biri toʻgʻri?,Suyinchi,Suyunchi,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2345,"[490, 1745, 213]"
Qay biri toʻgʻri?,Daxmaza,Dahmaza,,,https://t.me/oriftolib/2347,"[1149, 1229]"
Maqolning asl varianti qaysi?,"Bilagi zoʻr birni yiqar, Bilimi zoʻr – mingni.","Bilagi zoʻr birni yiqitar, Bilimi zoʻr – mingni.",,,https://t.me/oriftolib/2349,"[1415, 635]"
Chipor qanaqa rang?,Qizgʻish,Koʻkimtir,Ola-bula,,https://t.me/oriftolib/2358,"[364, 310, 1990]"
Qay biri toʻgʻri?,Murosa-yu madora,Murosayu madora,Murosayu-madora,,https://t.me/oriftolib/2359,"[1304, 518, 377]"
"Qazisan, qartasan,
Asl zotingga tortasan.
Ushbu maqoldagi “qarta” soʻzi nimani anglatadi?",Oʻyin turi,Taom nomi,"Qari, qartaygan",,https://t.me/oriftolib/2362,"[259, 895, 1267]"
Qay biri toʻgʻri?,Qoʻlay,Qulay,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2363,"[77, 1997, 141]"
Shukur Xolmirzayevning “Zov ostida adashuv” nomli hikoyasi bor. “Zov” nima degani?,Gʻor,Daradagi chuqurlik,Choʻqqidagi qoya,,https://t.me/oriftolib/2366,"[583, 1156, 584]"
“Dilovar” nima degani?,Goʻzal,Aldovchi,Botir,,https://t.me/oriftolib/2367,"[1168, 721, 478]"
“Barq urmoq” iborasi qanday maʼnoda qoʻllanadi?,"Yashin urib, jarohatlamoq","Oʻsmoq, boʻy choʻzmoq","Yashnamoq, jilolanmoq",,https://t.me/oriftolib/2371,"[237, 808, 1104]"
“Ilvasin” nimani anglatadi?,Yovvoyi qushlar,Yirtqich hayvonlar,Sudralib yuruvchilar,,https://t.me/oriftolib/2373,"[497, 960, 759]"
Qay biri toʻgʻri?,Mutloq gʻolib,Mutlaq gʻolib,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2376,"[1019, 1027, 296]"
Qay biri toʻgʻri?,Koʻngilchan odam,Koʻngilchang odam,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2379,"[1391, 689, 196]"
Guruchning maydasi – ...,Oqshoq,Oqishoq,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2381,"[1466, 568, 211]"
Qay biri toʻgʻri?,Shahdam,Shaxdam,,,https://t.me/oriftolib/2383,"[1130, 1235]"
Qay biri toʻgʻri?,Arzon mahsulotlar,Arzonchi mahsulotlar,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2384,"[1937, 103, 196]"
“Baholi qudrat” iborasining maʼnosi nima?,Qoʻldan kelgancha,Bor kuchi bilan,Istar-istamay,,https://t.me/oriftolib/2386,"[1537, 539, 112]"
Qay biri toʻgʻri?,Mahalla oqsaqoli,Mahalla oqsoqoli,,,https://t.me/oriftolib/2389,"[413, 2040]"
Qay biri toʻgʻri?,Atigi besh foiz,Atiga besh foiz,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2391,"[1352, 622, 330]"
"Qay biri toʻgʻri? 

Saxovatli, qoʻli ochiq – ...",Hatamtoy,Hotamtoy,Hotamtoʻy,,https://t.me/oriftolib/2395,"[251, 2324, 115]"
Qay biri toʻgʻri?,Miloddan oldingi,Meloddan oldingi,,,https://t.me/oriftolib/2396,"[2369, 313]"
Qay biri toʻgʻri?,Echkemar,Echkiemar,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2397,"[1346, 1023, 321]"
"Oktyabrning 19-kuni. Kamoliddin hovlida sarpoychan yurgan edi.

Jumladagi “sarpoychan” soʻzining maʼnosi nima?","Yasangan, sarpo kiygan holatda","Yupqa, yupun kiyimda","Paypoqsiz, yalang oyoqda",,https://t.me/oriftolib/2401,"[783, 1228, 1782]"
"Qay biri toʻgʻri?

Eski radioni ... oʻtirardi.",chuqalab,chuqilab,chuqulab,,https://t.me/oriftolib/2403,"[1404, 767, 473]"
Qay biri toʻgʻri?,Jinsi shim,Djinsi shim,,,https://t.me/oriftolib/2404,"[1828, 727]"
"Qay biri toʻgʻri? 

Hammayoq ... boʻlib ketdi.",algʻov-dolgʻov,algʻov-dalgʻov,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2411,"[219, 1540, 193]"
"Qay biri toʻgʻri?

Oldinlari ... degan koʻrsatuv boʻlardi.",“Ohanrabo”,“Ohangrabo”,,,https://t.me/oriftolib/2416,"[978, 1524]"
"Qay biri toʻgʻri?

Ming qargʻaga bir ...",kesak,kessak,,,https://t.me/oriftolib/2417,"[2119, 496]"
"Qay biri toʻgʻri? 

________________, qop-qora, semiz kishi ogʻir yurib, davraga chiqdi.  N. Aminov, “Qahqaha”.",Gʻoʻlaburdan kelgan,Gʻoʻlabirdan kelgan,,,https://t.me/oriftolib/2419,"[1115, 1189]"
Qay biri toʻgʻri?,Besh nafar bolalar,Besh nafar bola,,,https://t.me/oriftolib/2421,"[1157, 2113]"
Qay biri toʻgʻri?,Subʼektiv,Subyektiv,,,https://t.me/oriftolib/2422,"[985, 2096]"
Qay biri toʻgʻri?,Kattakan,Kattakon,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2427,"[118, 1971, 213]"
Qay biri toʻgʻri?,"Oldin tadqiq qilish kerak, keyin tatbiq.","Oldin tatqiq qilish kerak, keyin tatbiq.","Oldin tadqiq qilish kerak, keyin tadbiq.",,https://t.me/oriftolib/2429,"[794, 345, 1046]"
Qay biri qitʼaning nomi?,Antarktida,Antarktika,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2433,"[1345, 582, 499]"
Qay biri toʻgʻri?,Maynavozchilik qilmang!,Maynabozchilik qilmang!,Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2435,"[1649, 318, 177]"
"Qay biri toʻgʻri?

U ... qildi-da, shoshib chiqib ketdi.",uzr-maʼzur,uzr-maʼzir,uzr-mazr,,https://t.me/oriftolib/2436,"[1611, 221, 151]"
Qay biri toʻgʻri?,Taomdan tatib koʻring.,Taomdan taʼtib koʻring.,,,https://t.me/oriftolib/2441,"[1189, 744]"
Qay biri toʻgʻri?,"Yoʻ-oʻ-oʻq, bunisi toʻgʻri!","Yoʻoʻoʻq, bunisi toʻgʻri!",Ikkovi ham toʻgʻri.,,https://t.me/oriftolib/2444,"[512, 935, 516]"
"Qay biri toʻgʻri? 

Bugungi ... nima mavzuda ekan?",Juma mavizasi,Juma maʼvizasi,Juma mavʼizasi,,https://t.me/oriftolib/2446,"[438, 954, 419]"
“Mazammat” soʻzining maʼnosi nima?,"Rohat, maza","Taʼna, malomat","Maza qochishi, betoblik",,https://t.me/oriftolib/2451,"[498, 1244, 372]"
Qay biri toʻgʻri?,Yoʻl qoydasi – umr foydasi.,Yoʻl qoidasi – umr foydasi.,Yoʻl qoidasi – umr foidasi.,,https://t.me/oriftolib/2454,"[141, 1780, 136]"
Qay biri toʻgʻri?,Balki bunisi toʻgʻridir...,"Balki, bunisi toʻgʻridir...",,,https://t.me/oriftolib/2458,"[861, 1288]"
"Qay biri toʻgʻri? 

Shahrimiz ___________ uch millionga yaqinlashdi.",nufusi,nufuzi,,,https://t.me/oriftolib/2460,"[708, 1493]"
Qay biri toʻgʻri?,Oʻquvchilarimiz tanlovning Respublika bosqichiga yoʻl oldi!,Oʻquvchilarimiz tanlovning respublika bosqichiga yoʻl oldi!,,,https://t.me/oriftolib/2463,"[977, 940]"
Qay biri toʻgʻri?,Naʼsiyaga savdo yoʻq!,Nasiyaga savdo yoʻq!,,,https://t.me/oriftolib/2466,"[293, 1739]"
“Hamoqat” nima degani?,Hamkorlik,Hamtovoqlik,Ahmoqlik,,https://t.me/oriftolib/2476,"[589, 1010, 574]"
“Chakki” nima degani?,"Yomon, qoniqarsiz","Durust, chidasa boʻladigan","Meʼyordan ortiq, koʻp",,https://t.me/oriftolib/2478,"[2587, 1886, 548]"
Ildizsiz va urugʻsiz tuban oʻsimliklarning umumiy nomi – ...,Zamburugʻ,Zambirugʻ,Zamburigʻ,,https://t.me/oriftolib/2479,"[2217, 142, 136]"
Qay biri toʻgʻri?,Ertalabgi,Ertalabki,,,https://t.me/oriftolib/2480,"[669, 1742]"
Qay biri toʻgʻri?,Inshoat,Inshaot,Inshoot,,https://t.me/oriftolib/2483,"[1841, 357, 2454]"
“Oʻz koʻmochiga kul tortmoq” iborasi qanday maʼnoni anglatadi?,Oʻz manfaati uchun ishlamoq,Oʻz aybini ochadigan ish qilmoq,Oʻz aybini yopishga harakat qilmoq,,https://t.me/oriftolib/2485,"[529, 802, 800]"
Qay biri toʻgʻri?,“Inson huquqlari umumjahon deklaratsiyasi” bilan tanishdim.,“Inson huquqlari” umumjahon deklaratsiyasi bilan tanishdim.,Inson huquqlari umumjahon deklaratsiyasi bilan tanishdim.,,https://t.me/oriftolib/2487,"[992, 763, 459]"
Qay biri toʻgʻri?,Zoʻravon,Zoʻrovon,,,https://t.me/oriftolib/2488,"[1848, 454]"
"Qay biri toʻgʻri? 

Chelak _______ toʻldi.",limmo-lim,limmolim,lim-molim,,https://t.me/oriftolib/2490,"[3008, 941, 288]"
Qay biri toʻgʻri?,Aks sado,Aks-sado,,,https://t.me/oriftolib/2492,"[2126, 2006]"
Qay biri toʻgʻri?,"Soʻng, oʻqituvchi fikrlarni umumlashtirib, esse haqida maʼlumot beradi.","Soʻng oʻqituvchi fikrlarni umumlashtirib, esse haqida maʼlumot beradi.",,,https://t.me/oriftolib/2493,"[1448, 2287]"
"Yuzi oydek shuʼla solar, Husni falakdan boj olar. Yo Rab, yorim qachon kelar, Borsam daryo kanorindan?

Baytda qoʻllangan “kanor” soʻzining maʼnosi nima?","Kanal, suv yoʻli","Qirgʻoq, chet","Oxir, tugagan joy",,https://t.me/oriftolib/2494,"[425, 1296, 353]"
Qay biri toʻgʻri?,Uylarni sipirib-sidirdi.,Uylarni supirib-sidirdi.,Uylarni supurib-sidirdi.,,https://t.me/oriftolib/2498,"[191, 1318, 2526]"
Qay biri toʻgʻri?,"Onson ekan, toʻgʻri topyabman!","Oson ekan, toʻgʻri topyabman!","Oson ekan, toʻgʻri topyapman!",,https://t.me/oriftolib/2500,"[114, 469, 1431]"
"Qay biri toʻgʻri? 

Safar yoʻli, yoʻnalish – ...",Marshurut,Marshirut,Marshrut,,https://t.me/oriftolib/2501,"[365, 170, 1365]"
